,p_val,avg_logFC,pct.1,pct.2,p_val_adj
Tsc22d1,3.56541164221393e-27,0.24436907361382,0.528,0.322,3.43919607007956e-23
Avpr1a,1.49210453199273e-26,0.23143074053128,0.628,0.408,1.43928403156018e-22
Fitm1,5.5886978102392e-26,0.10438986229864,0.142,0.039,5.39085790775673e-22
Rmdn2,7.59904138473758e-26,0.214188697374721,0.453,0.254,7.33003531971787e-22
Hpgd,2.85567777598934e-25,0.210352724995859,0.957,0.907,2.75458678271932e-21
Msmo1,5.41524264511988e-25,0.211387682387273,0.931,0.861,5.22354305548263e-21
Plpp3,2.77015949030783e-24,0.222982998766493,0.926,0.857,2.67209584435093e-20
Eci2,4.12750927960751e-24,0.244435201905453,0.818,0.689,3.98139545110941e-20
Mup11,6.98305381498519e-24,0.314173723767229,0.808,0.705,6.73585370993471e-20
Cyp7b1,1.80734035437672e-23,0.180197579019605,0.453,0.258,1.74336050583179e-19
